player_a,player_b,player_a_ranking,player_b_ranking,ranking_difference,player_a_recent_win_rate,player_b_recent_win_rate,player_a_wins
Giulio Zeppieri,Zhizhen Zhang,111.0,50.0,-61.0,0.4,0.5,0
Andy Murray,Brandon Nakashima,44.0,70.0,26.0,0.2,0.4,1
Alex De Minaur,Liam Broady,27.0,132.0,105.0,0.5,0.3,1
Yosuke Watanuki,Hubert Hurkacz,121.0,14.0,-107.0,0.4,0.5,0
Aleksandar Vukic,Yoshihito Nishioka,81.0,102.0,21.0,0.5,0.4,1
Frances Tiafoe,Dominik Koepfer,16.0,58.0,42.0,0.5,0.5,0
Arthur Fils,Zhizhen Zhang,112.0,70.0,-42.0,0.8,0.5,1
Luciano Darderi,Sebastian Baez,37.0,23.0,-14.0,0.4,0.6,0
Jack Draper,Jiri Lehecka,15.0,30.0,15.0,0.7,0.6,1
Stefanos Tsitsipas,Jordan Thompson,5.0,76.0,71.0,0.7,0.4,1
Thanasi Kokkinakis,Jaume Munar,104.0,75.0,-29.0,0.4,0.5,1
Jannik Sinner,Diego Schwartzman,8.0,37.0,29.0,0.8,0.3,1
Jannik Sinner,Daniil Medvedev,1.0,5.0,4.0,1.0,0.7,1
Christopher Eubanks,Richard Gasquet,75.0,55.0,-20.0,0.5,0.3,0
Michael Mmoh,Sam Querrey,226.0,114.0,-112.0,0.16666666666666666,0.1,1
Mackenzie Mcdonald,Alexander Bublik,54.0,26.0,-28.0,0.5,0.7,0
Alex Molcan,Andreas Seppi,88.0,102.0,14.0,0.7,0.3,1
Casper Ruud,Zhizhen Zhang,5.0,67.0,62.0,0.7,0.6,0
Karen Khachanov,Francisco Cerundolo,18.0,22.0,4.0,0.7,0.6,1
Tommy Paul,Taylor Fritz,14.0,9.0,-5.0,0.9,0.9,0
Mattia Bellucci,Mackenzie Mcdonald,125.0,93.0,-32.0,0.3333333333333333,0.4,1
Stan Wawrinka,Alexander Shevchenko,45.0,83.0,38.0,0.5,0.3,0
Alexander Zverev,Carlos Alcaraz,6.0,2.0,-4.0,0.7,0.7,0
James Duckworth,Felipe Meligeni Alves,111.0,168.0,57.0,0.4,0.3333333333333333,0
Alexander Ritschard,Pablo Andujar,187.0,211.0,24.0,0.4,0.2,1
Brandon Nakashima,Grigor Dimitrov,76.0,20.0,-56.0,0.4,0.6,0
Grigor Dimitrov,Hubert Hurkacz,29.0,14.0,-15.0,0.6,0.8,1
Dominic Thiem,Sebastian Ofner,81.0,58.0,-23.0,0.7,0.4,0
Lorenzo Sonego,Yannick Hanfmann,46.0,49.0,3.0,0.4,0.4,1
Tommy Paul,Max Purcell,14.0,97.0,83.0,0.7,0.6,1
Arthur Cazaux,Lorenzo Musetti,86.0,26.0,-60.0,0.4,0.4,1
Jan Lennard Struff,Rinky Hijikata,25.0,71.0,46.0,0.4,0.5,1
Tomas Machac,Bernabe Zapata Miralles,119.0,75.0,-44.0,0.4,0.2,1
Yibing Wu,Michael Mmoh,97.0,86.0,-11.0,0.75,0.4,1
Alexander Zverev,Jesper De Jong,4.0,114.0,110.0,0.9,0.25,1
Frances Tiafoe,Filip Krajinovic,12.0,93.0,81.0,0.7,0.1,1
Stefanos Tsitsipas,Felix Auger Aliassime,6.0,19.0,13.0,0.7,0.8,1
Daniel Evans,David Goffin,27.0,47.0,20.0,0.4,0.8,0
Nikoloz Basilashvili,Andrey Rublev,25.0,8.0,-17.0,0.5,0.7,1
Carlos Alcaraz,Tomas Machac,3.0,35.0,32.0,0.7,0.5,1
Cameron Norrie,Flavio Cobolli,31.0,63.0,32.0,0.6,0.5,1
Roberto Carballes Baena,Hugo Dellien,51.0,157.0,106.0,0.7,0.5,1
Alexandre Muller,Matteo Arnaldi,90.0,35.0,-55.0,0.6,0.6,0
Nicolas Jarry,Fabian Marozsan,24.0,58.0,34.0,0.5,0.4,0
Jakub Mensik,Joao Fonseca,48.0,145.0,97.0,0.6,0.7,0
Gael Monfils,Max Purcell,54.0,71.0,17.0,0.5,0.4,1
Mackenzie Mcdonald,Bernabe Zapata Miralles,54.0,42.0,-12.0,0.5,0.4,0
Daniel Evans,Carlos Alcaraz,33.0,2.0,-31.0,0.5,0.8,0
Marton Fucsovics,Alexander Bublik,80.0,21.0,-59.0,0.4,0.8,0
Taylor Fritz,Marcos Giron,9.0,52.0,43.0,0.8,0.6,1
Casper Ruud,Max Purcell,7.0,70.0,63.0,0.7,0.3,0
Elias Ymer,Miomir Kecmanovic,168.0,53.0,-115.0,0.2,0.4,0
Jiri Lehecka,Tommy Paul,37.0,15.0,-22.0,0.5,0.6,1
Ilya Ivashka,Steve Johnson,53.0,91.0,38.0,0.6,0.6,1
Pavel Kotov,Christopher Oconnell,114.0,87.0,-27.0,0.4,0.3,1
Gael Monfils,Novak Djokovic,211.0,2.0,-209.0,0.7,0.9,0
Alex Molcan,Stan Wawrinka,53.0,139.0,86.0,0.3,0.5,1
Alex De Minaur,Karen Khachanov,32.0,26.0,-6.0,0.7,0.7,0
Novak Djokovic,Karen Khachanov,1.0,26.0,25.0,0.8,0.7,1
Rafael Nadal,Denis Shapovalov,4.0,16.0,12.0,0.8,0.6,0
Gilles Simon,Jo-Wilfried Tsonga,132.0,243.0,111.0,0.4,0.1,0
Marin Cilic,Jo-Wilfried Tsonga,22.0,254.0,232.0,0.4,0.2,1
Marcos Giron,Sebastian Baez,45.0,20.0,-25.0,0.6,0.6,0
Alexei Popyrin,Hubert Hurkacz,101.0,11.0,-90.0,0.4,0.8,0
Filip Krajinovic,Carlos Alcaraz,43.0,6.0,-37.0,0.7,0.7,0
Pablo Andujar,Daniel Evans,73.0,26.0,-47.0,0.5,0.4,1
Jakub Mensik,Ben Shelton,81.0,16.0,-65.0,0.7,0.6,0
Brandon Nakashima,Sebastian Baez,65.0,18.0,-47.0,0.6,0.5,1
Botic Van De Zandschulp,Marton Fucsovics,56.0,38.0,-18.0,0.7,0.4,0
Jaume Munar,Ben Shelton,82.0,20.0,-62.0,0.5,0.7,0
John Isner,Diego Schwartzman,23.0,14.0,-9.0,0.5,0.8,1
Pablo Andujar,Tomas Martin Etcheverry,323.0,59.0,-264.0,0.2,0.6,0
Brandon Nakashima,Shintaro Mochizuki,47.0,401.0,354.0,0.7,0.0,1
Pavel Kotov,Lorenzo Musetti,67.0,27.0,-40.0,0.7,0.3,1
John Isner,Emilio Nava,46.0,182.0,136.0,0.4,0.125,0
Gael Monfils,Hubert Hurkacz,54.0,8.0,-46.0,0.6,0.7,1
Albert Ramos,Nicolas Jarry,40.0,118.0,78.0,0.3,0.3333333333333333,1
Jason Kubler,Fabio Fognini,69.0,130.0,61.0,0.5,0.4,0
Jaume Munar,Chun Hsin Tseng,57.0,85.0,28.0,0.4,0.2,1
Karen Khachanov,Alex Bolt,15.0,323.0,308.0,0.7,0.2,1
Filip Krajinovic,Diego Schwartzman,36.0,13.0,-23.0,0.4,0.6,0
David Goffin,Lorenzo Musetti,66.0,18.0,-48.0,0.7,0.7,1
Alex Michelsen,Learner Tien,41.0,122.0,81.0,0.5,0.42857142857142855,0
Grigor Dimitrov,Diego Schwartzman,20.0,15.0,-5.0,0.7,0.6,1
Alex De Minaur,Lloyd Harris,25.0,40.0,15.0,0.7,0.5,1
Jack Draper,Maximilian Marterer,82.0,97.0,15.0,0.6,0.7,1
Ugo Humbert,Karen Khachanov,18.0,21.0,3.0,0.6,0.9,1
Richard Gasquet,Alexandre Muller,124.0,90.0,-34.0,0.2,0.5,0
Thiago Seyboth Wild,Fabio Fognini,74.0,147.0,73.0,0.4,0.5,0
Frances Tiafoe,Aslan Karatsev,10.0,75.0,65.0,0.7,0.6,1
Novak Djokovic,Laslo Djere,2.0,38.0,36.0,1.0,0.8,1
Benjamin Bonzi,Dominic Stricker,108.0,128.0,20.0,0.4,0.5,0
Frances Tiafoe,Flavio Cobolli,15.0,72.0,57.0,0.5,0.7,1
Felix Auger Aliassime,Gilles Simon,8.0,188.0,180.0,1.0,0.5,1
Taro Daniel,Tommy Paul,125.0,43.0,-82.0,0.3,0.8,0
Ugo Humbert,Nicolas Jarry,28.0,20.0,-8.0,0.7,0.7,1
Holger Rune,J J Wolf,28.0,99.0,71.0,0.3,0.4,0
Christopher Eubanks,Arthur Rinderknech,77.0,85.0,8.0,0.6,0.5,1
Jenson Brooksby,Karen Khachanov,43.0,26.0,-17.0,0.6,0.6,1
Matteo Berrettini,Sebastian Baez,15.0,37.0,22.0,0.6,0.3,1
Pedro Martinez,Ramkumar Ramanathan,62.0,435.0,373.0,0.2,0.2,1
Zsombor Piros,Fabian Marozsan,121.0,62.0,-59.0,0.625,0.5,0
Tommy Paul,Botic Van De Zandschulp,12.0,60.0,48.0,0.6,0.5,0
Tomas Machac,Emil Ruusuvuori,50.0,71.0,21.0,0.6,0.5,1
Borna Coric,Benjamin Hassan,34.0,159.0,125.0,0.5,0.4,1
Alexander Bublik,J J Wolf,48.0,50.0,2.0,0.4,0.5,0
Tallon Griekspoor,Lucas Pouille,60.0,154.0,94.0,0.6,0.2,0
Daniel Evans,Roman Safiullin,27.0,55.0,28.0,0.7,0.5,0
Abedallah Shelbayh,Hugo Gaston,215.0,83.0,-132.0,0.14285714285714285,0.5,1
Francisco Cerundolo,Tommy Paul,27.0,14.0,-13.0,0.6,0.7,1
Casper Ruud,Nuno Borges,12.0,47.0,35.0,0.7,0.7,1
Giovanni Mpetshi Perricard,Sebastian Korda,58.0,21.0,-37.0,0.6,0.8,1
Christopher Oconnell,Roberto Bautista Agut,94.0,28.0,-66.0,0.3,0.6,1
Daniil Medvedev,Gael Monfils,5.0,46.0,41.0,0.4,0.5,1
Daniel Evans,Arthur Fils,27.0,44.0,17.0,0.7,0.4,1
Daniil Medvedev,Stefan Kozlov,1.0,111.0,110.0,0.7,0.4,1
Andrey Rublev,Jiri Lehecka,6.0,38.0,32.0,0.7,0.8,1
Christopher Oconnell,Jordan Thompson,175.0,75.0,-100.0,0.2,0.4,0
Ben Shelton,Reilly Opelka,17.0,306.0,289.0,0.6,0.5,1
Felix Auger Aliassime,Constant Lestienne,31.0,100.0,69.0,0.5,0.3,1
Daniel Altmaier,Stan Wawrinka,91.0,135.0,44.0,0.2,0.3,0
Oscar Otte,Holger Rune,62.0,70.0,8.0,0.4,0.4,0
Zizou Bergs,Laslo Djere,73.0,57.0,-16.0,0.4,0.2,0
Zizou Bergs,Jason Kubler,134.0,97.0,-37.0,0.25,0.6,0
Sebastian Baez,Cameron Norrie,38.0,11.0,-27.0,0.6,0.6,0
Holger Rune,Casper Ruud,40.0,8.0,-32.0,0.9,0.9,0
Alexander Zverev,Tallon Griekspoor,17.0,61.0,44.0,0.6,0.8,0
Jason Kubler,Rafael Nadal,102.0,672.0,570.0,0.3,0.4,0
Alexander Zverev,Alejandro Tabilo,5.0,32.0,27.0,0.7,0.5,1
Yasutaka Uchiyama,Frances Tiafoe,314.0,19.0,-295.0,0.2,0.8,0
Miomir Kecmanovic,Cameron Norrie,40.0,13.0,-27.0,0.3,0.7,0
Carlos Alcaraz,Jannik Sinner,2.0,13.0,11.0,0.8,0.8,1
Aslan Karatsev,Diego Schwartzman,38.0,16.0,-22.0,0.5,0.4,0
Benjamin Hassan,Yoshihito Nishioka,152.0,84.0,-68.0,0.4444444444444444,0.5,0
Jannik Sinner,Pavel Kotov,2.0,56.0,54.0,0.8,0.5,1
Alexander Bublik,Dimitar Kuzmanov,29.0,179.0,150.0,0.6,0.5,1
Novak Djokovic,Jannik Sinner,1.0,4.0,3.0,1.0,0.9,0
Andrey Rublev,Daniil Medvedev,8.0,3.0,-5.0,0.7,0.8,0
Pablo Cuevas,Roberto Carballes Baena,107.0,100.0,-7.0,0.1,0.4,1
Nuno Borges,John Isner,80.0,90.0,10.0,0.4,0.4,1
Tomas Machac,David Goffin,39.0,83.0,44.0,0.6,0.3,1
Roberto Bautista Agut,Taro Daniel,122.0,83.0,-39.0,0.5,0.3,1
Thiago Monteiro,Elias Ymer,119.0,160.0,41.0,0.4,0.2,1
Yibing Wu,Alex De Minaur,86.0,13.0,-73.0,0.2,0.7,0
Jaume Munar,Tim Van Rijthoven,55.0,113.0,58.0,0.3,0.5,1
Bjorn Fratangelo,Gael Monfils,695.0,323.0,-372.0,0.375,0.2,0
Francisco Cerundolo,Otto Virtanen,31.0,109.0,78.0,0.5,0.4,1
Hubert Hurkacz,Tommy Paul,11.0,19.0,8.0,0.8,0.7,0
Jaume Munar,Jan Lennard Struff,73.0,24.0,-49.0,0.4,0.7,0
Thanasi Kokkinakis,Hubert Hurkacz,69.0,17.0,-52.0,0.4,0.7,0
Jiri Vesely,Andrey Rublev,123.0,7.0,-116.0,0.4,0.9,0
Dusan Lajovic,Daniil Medvedev,66.0,5.0,-61.0,0.5,0.7,0
Fabian Marozsan,Alex De Minaur,57.0,10.0,-47.0,0.5,0.8,1
Felix Auger Aliassime,Lorenzo Musetti,19.0,16.0,-3.0,0.6,0.9,0
David Goffin,Damir Dzumhur,74.0,145.0,71.0,0.7,0.4,1
Lorenzo Sonego,Marc Andrea Huesler,50.0,152.0,102.0,0.5,0.4,1
Holger Rune,Grigor Dimitrov,6.0,24.0,18.0,0.8,0.7,1
Karen Khachanov,Jan Lennard Struff,26.0,122.0,96.0,0.7,0.1,1
Lorenzo Sonego,Ugo Humbert,49.0,16.0,-33.0,0.3,0.5,1
Jordan Thompson,Tommy Paul,42.0,14.0,-28.0,0.7,0.8,0
Luciano Darderi,Pedro Martinez,37.0,48.0,11.0,0.6,0.4,1
Holger Rune,Denis Shapovalov,40.0,15.0,-25.0,0.8,0.5,1
Pavel Kotov,Tallon Griekspoor,109.0,25.0,-84.0,0.4,0.5,1
Marton Fucsovics,Thanasi Kokkinakis,35.0,99.0,64.0,0.5,0.7,1
Pablo Carreno Busta,Casper Ruud,19.0,7.0,-12.0,0.6,0.8,1
Andrey Rublev,Daniel Evans,7.0,28.0,21.0,0.8,0.7,1
Pierre Hugues Herbert,James Duckworth,139.0,101.0,-38.0,0.5,0.5,0
Hubert Hurkacz,Roberto Bautista Agut,8.0,90.0,82.0,0.7,0.4,1
Novak Djokovic,Alex De Minaur,1.0,11.0,10.0,0.7,0.8,1
Christopher Eubanks,Oscar Otte,104.0,80.0,-24.0,0.4,0.2,0
Casper Ruud,Stefanos Tsitsipas,6.0,7.0,1.0,0.8,0.8,1
Arthur Fils,Roman Safiullin,34.0,44.0,10.0,0.5,0.2,1
Carlos Alcaraz,Li Tu,3.0,186.0,183.0,0.7,0.125,1
Daniel Elahi Galan,Maxime Cressy,124.0,173.0,49.0,0.2,0.2,1
Jaume Munar,Marc Andrea Huesler,83.0,60.0,-23.0,0.4,0.4,1
Daniel Altmaier,Oscar Otte,59.0,61.0,2.0,0.2,0.5,0
Kyle Edmund,Jannik Sinner,582.0,15.0,-567.0,0.4,0.6,0
Sebastian Ofner,Alexander Zverev,44.0,5.0,-39.0,0.3,0.7,0
Alejandro Davidovich Fokina,Sebastian Korda,29.0,27.0,-2.0,0.5,0.5,0
Borna Coric,Sebastian Baez,29.0,42.0,13.0,0.5,0.8,0
Marc Andrea Huesler,Alexander Zverev,53.0,14.0,-39.0,0.5,0.6,1
Stan Wawrinka,Bernabe Zapata Miralles,53.0,81.0,28.0,0.3,0.3,1
Karen Khachanov,Novak Djokovic,19.0,7.0,-12.0,0.6,1.0,0
Zizou Bergs,Luca Van Assche,103.0,99.0,-4.0,0.5,0.4,0
Tommy Paul,Felipe Meligeni Alves,14.0,177.0,163.0,0.6,0.3333333333333333,1
Milos Raonic,Jesper De Jong,309.0,141.0,-168.0,0.6,0.2,1
Alexander Bublik,Emil Ruusuvuori,44.0,51.0,7.0,0.5,0.5,1
Jack Draper,Thanasi Kokkinakis,106.0,74.0,-32.0,0.6,0.4,1
Arthur Rinderknech,Juncheng Shang,68.0,73.0,5.0,0.5,0.6,1
Tommy Paul,Denis Shapovalov,35.0,15.0,-20.0,0.3,0.4,1
Daniel Elahi Galan,Brandon Nakashima,109.0,56.0,-53.0,0.4,0.5,0
Alexei Popyrin,Soon Woo Kwon,28.0,340.0,312.0,0.8,0.2,1
Alexander Bublik,Pablo Carreno Busta,47.0,15.0,-32.0,0.7,0.8,0
Dennis Novak,Soon Woo Kwon,143.0,65.0,-78.0,0.3,0.6,0
Casper Ruud,Jan Lennard Struff,4.0,100.0,96.0,0.7,0.5,0
Francisco Cerundolo,Casper Ruud,21.0,8.0,-13.0,0.5,0.6,1
Hubert Hurkacz,Jannik Sinner,11.0,10.0,-1.0,0.7,0.9,1
Fabian Marozsan,Ugo Humbert,47.0,15.0,-32.0,0.4,0.5,0
Filip Misolic,Jozef Kovalik,139.0,159.0,20.0,0.625,0.3,1
Casper Ruud,Emil Ruusuvuori,7.0,73.0,66.0,0.7,0.5,1
Jaume Munar,Facundo Bagnis,74.0,207.0,133.0,0.5,0.5,0
Yibing Wu,Taylor Fritz,97.0,8.0,-89.0,0.6,0.6,1
Gijs Brouwer,Adrian Mannarino,232.0,21.0,-211.0,0.2,0.1,1
Christopher Eubanks,Pedro Martinez,44.0,46.0,2.0,0.2,0.5,1
Facundo Bagnis,Francisco Cerundolo,76.0,107.0,31.0,0.3,0.1,0
Cameron Norrie,Jiri Lehecka,12.0,78.0,66.0,0.7,0.6,1
Dominic Thiem,Roberto Bautista Agut,339.0,20.0,-319.0,0.1,0.7,1
Thanasi Kokkinakis,Yannick Hanfmann,103.0,126.0,23.0,0.8,0.4,0
Francisco Cerundolo,Cameron Norrie,33.0,14.0,-19.0,0.5,0.8,1
Jenson Brooksby,Denis Shapovalov,46.0,24.0,-22.0,0.5,0.5,0
Yoshihito Nishioka,Mackenzie Mcdonald,36.0,63.0,27.0,0.6,0.7,1
Sebastian Korda,Nuno Borges,28.0,86.0,58.0,0.6,0.4,1
Richard Gasquet,Mikael Ymer,50.0,53.0,3.0,0.4,0.4,0
Max Purcell,Christopher Oconnell,66.0,93.0,27.0,0.4,0.4,1
Ugo Humbert,Casper Ruud,15.0,10.0,-5.0,0.8,0.7,0
Jannik Sinner,Tomas Martin Etcheverry,1.0,37.0,36.0,0.9,0.5,1
Federico Delbonis,Casper Ruud,42.0,8.0,-34.0,0.4,0.7,0
Francisco Cerundolo,Mackenzie Mcdonald,19.0,64.0,45.0,0.8,0.5,1
Carlos Alcaraz,Tommy Paul,1.0,13.0,12.0,0.8,0.7,1
Guido Pella,Hugo Dellien,1018.0,138.0,-880.0,0.5,0.4,0
Laslo Djere,Pedro Martinez,113.0,39.0,-74.0,0.3,0.2,1
Nuno Borges,Timofey Skatov,51.0,223.0,172.0,0.5,0.5,1
Denis Shapovalov,Ben Shelton,139.0,14.0,-125.0,0.5,0.5,0
Marton Fucsovics,Taylor Fritz,75.0,10.0,-65.0,0.5,0.8,0
Hubert Hurkacz,Frances Tiafoe,11.0,17.0,6.0,0.6,0.7,1
Laslo Djere,Alex Molcan,55.0,65.0,10.0,0.4,0.6,0
Jannik Sinner,Tallon Griekspoor,1.0,27.0,26.0,0.9,0.7,1
Jiri Vesely,Denis Shapovalov,123.0,14.0,-109.0,0.4,0.7,1
Juan Pablo Varillas,Sebastian Baez,119.0,21.0,-98.0,0.2,1.0,0
Alex Michelsen,Constant Lestienne,74.0,104.0,30.0,0.4,0.3,1
Ben Shelton,Pedro Cachin,47.0,66.0,19.0,0.5,0.6,1
Roberto Bautista Agut,Hubert Hurkacz,66.0,11.0,-55.0,0.4,0.7,0
Juan Pablo Varillas,Nicolas Jarry,87.0,20.0,-67.0,0.4,0.5,0
Michael Mmoh,Felix Auger Aliassime,119.0,12.0,-107.0,0.5,0.4,1
Lorenzo Sonego,Ugo Humbert,56.0,36.0,-20.0,0.5,0.5,0
Bernabe Zapata Miralles,Tomas Barrios Vera,76.0,212.0,136.0,0.2,0.16666666666666666,0
Roberto Carballes Baena,Alex De Minaur,54.0,9.0,-45.0,0.6,0.8,0
Christopher Oconnell,Andy Murray,158.0,89.0,-69.0,0.4,0.6,0
Carlos Taberner,Sebastian Korda,94.0,37.0,-57.0,0.4,0.6,1
Luca Van Assche,Casper Ruud,80.0,8.0,-72.0,0.5,0.8,0
Matteo Berrettini,Taro Daniel,23.0,103.0,80.0,0.5,0.6,0
Daniel Elahi Galan,Marcos Giron,90.0,80.0,-10.0,0.4,0.4,0
Hubert Hurkacz,Taylor Fritz,10.0,9.0,-1.0,0.6,0.5,0
Alex Molcan,Federico Coria,38.0,54.0,16.0,0.8,0.6,1
Diego Schwartzman,Francisco Cerundolo,15.0,107.0,92.0,0.7,0.2,1
Lorenzo Sonego,Cameron Norrie,55.0,28.0,-27.0,0.4,0.6,0
Sebastian Baez,Holger Rune,74.0,88.0,14.0,0.4,0.3,1
Yoshihito Nishioka,Novak Djokovic,99.0,1.0,-98.0,0.5,0.8,0
Jack Draper,Jenson Brooksby,48.0,41.0,-7.0,0.6,0.6,1
Grigor Dimitrov,Dusan Lajovic,10.0,56.0,46.0,0.7,0.6,1
Stefanos Tsitsipas,Richard Gasquet,3.0,40.0,37.0,0.7,0.5,1
Facundo Bagnis,Juan Manuel Cerundolo,207.0,148.0,-59.0,0.3,0.4,1
Pedro Martinez,Juan Ignacio Londero,61.0,139.0,78.0,0.5,0.0,0
Marco Cecchinato,Facundo Bagnis,91.0,94.0,3.0,0.5,0.3,1
Jack Draper,Taro Daniel,42.0,78.0,36.0,0.6,0.3,1
Fabian Marozsan,Carlos Alcaraz,58.0,2.0,-56.0,0.5,0.7,0
Andrey Rublev,Diego Schwartzman,8.0,21.0,13.0,0.8,0.4,1
Taylor Fritz,Alejandro Davidovich Fokina,13.0,46.0,33.0,0.8,0.4,0
Joao Sousa,Cristian Garin,162.0,103.0,-59.0,0.2,0.3,1
Tallon Griekspoor,Carlos Alcaraz,40.0,3.0,-37.0,0.6,0.6,0
Lorenzo Musetti,Felix Auger Aliassime,83.0,9.0,-74.0,0.5,0.6,1
Max Purcell,Andy Murray,202.0,52.0,-150.0,0.4,0.6,0
Roman Safiullin,Nicolas Jarry,112.0,51.0,-61.0,0.1,0.7,1
Botic Van De Zandschulp,Zhizhen Zhang,44.0,52.0,8.0,0.3,0.6,1
Alexander Zverev,Nuno Borges,5.0,53.0,48.0,0.7,0.4,1
Cristian Garin,Casper Ruud,97.0,4.0,-93.0,0.3,0.5,1
Jenson Brooksby,Yoshihito Nishioka,37.0,96.0,59.0,0.6,0.4,0
Jan Lennard Struff,Sebastian Baez,25.0,19.0,-6.0,0.4,0.8,1
Mariano Navone,Rafael Nadal,36.0,261.0,225.0,0.4,0.6,0
Luca Van Assche,Aleksandar Vukic,65.0,51.0,-14.0,0.4,0.6,0
Joao Sousa,Ilya Ivashka,79.0,50.0,-29.0,0.5,0.4,1
Botic Van De Zandschulp,Marcos Giron,29.0,68.0,39.0,0.6,0.6,1
Yi Zhou,Yoshihito Nishioka,440.0,60.0,-380.0,0.3,0.5,1
Pablo Andujar,Cameron Norrie,100.0,12.0,-88.0,0.3,0.6,0
Hubert Hurkacz,Christopher Oconnell,8.0,68.0,60.0,0.7,0.5,1
Kamil Majchrzak,Alexander Bublik,81.0,41.0,-40.0,0.5,0.4,1
John Isner,Jenson Brooksby,25.0,43.0,18.0,0.7,0.5,0
Luca Nardi,Novak Djokovic,123.0,1.0,-122.0,0.2,0.7,1
Enzo Couacaud,Novak Djokovic,191.0,5.0,-186.0,0.2,1.0,0
Aleksandar Vukic,Miomir Kecmanovic,91.0,41.0,-50.0,0.4,0.4,0
Tomas Martin Etcheverry,Matteo Arnaldi,37.0,29.0,-8.0,0.4,0.5,1
Cem Ilkel,Max Purcell,259.0,45.0,-214.0,0.3333333333333333,0.2,1
Ugo Humbert,Denis Shapovalov,77.0,30.0,-47.0,0.6,0.5,1
Francisco Cerundolo,Aslan Karatsev,30.0,37.0,7.0,0.6,0.4,1
Gael Monfils,Grigor Dimitrov,33.0,10.0,-23.0,0.5,0.6,0
Jordan Thompson,Jaume Munar,33.0,73.0,40.0,0.5,0.4,1
Richard Gasquet,Felix Auger Aliassime,82.0,10.0,-72.0,0.6,0.7,0
Grigor Dimitrov,Christopher Oconnell,20.0,53.0,33.0,0.6,0.5,1
Nicolas Jarry,Alexander Zverev,24.0,5.0,-19.0,0.5,0.7,0
Taro Daniel,Carlos Alcaraz,112.0,1.0,-111.0,0.6,0.8,0
Miomir Kecmanovic,Marin Cilic,61.0,24.0,-37.0,0.7,0.6,1
Tallon Griekspoor,Stefano Travaglia,39.0,282.0,243.0,0.3,0.3,1
Lorenzo Musetti,Holger Rune,26.0,7.0,-19.0,0.4,0.7,0
Sebastian Korda,Karen Khachanov,36.0,18.0,-18.0,0.8,0.7,1
Sebastian Baez,Borna Coric,32.0,23.0,-9.0,0.9,0.6,1
Pablo Carreno Busta,Alejandro Tabilo,20.0,139.0,119.0,0.6,0.3333333333333333,1
Bernabe Zapata Miralles,Taro Daniel,80.0,95.0,15.0,0.5,0.3,1
Daniel Altmaier,Miomir Kecmanovic,67.0,38.0,-29.0,0.3,0.8,0
Hugo Grenier,Maximilian Marterer,151.0,99.0,-52.0,0.3,0.5,1
Jack Sock,Stefanos Tsitsipas,147.0,5.0,-142.0,0.5,0.7,0
Soon Woo Kwon,Mackenzie Mcdonald,120.0,78.0,-42.0,0.4,0.4,1
Jaume Munar,Tomas Martin Etcheverry,90.0,127.0,37.0,0.4,0.3333333333333333,1
David Goffin,Alex De Minaur,47.0,34.0,-13.0,0.3,0.6,0
Lorenzo Musetti,Jack Draper,17.0,18.0,1.0,0.6,0.7,0
Arthur Fils,Jakub Mensik,20.0,48.0,28.0,0.7,0.7,1
Jordan Thompson,Aleksandar Vukic,55.0,62.0,7.0,0.4,0.3,1
Tomas Machac,Roman Safiullin,115.0,163.0,48.0,0.6,0.4,0
Marcos Giron,Arthur Rinderknech,47.0,62.0,15.0,0.4,0.4,1
Luca Van Assche,Pavel Kotov,80.0,67.0,-13.0,0.4,0.4,1
Jannik Sinner,Bu Yunchaokete,1.0,96.0,95.0,0.9,0.6,1
Soon Woo Kwon,Alejandro Davidovich Fokina,112.0,25.0,-87.0,0.3,0.5,0
Hubert Hurkacz,Hugo Dellien,14.0,81.0,67.0,0.7,0.3,1
Alex Michelsen,Tommy Paul,80.0,17.0,-63.0,0.6,0.7,0
Ugo Humbert,Denis Shapovalov,46.0,16.0,-30.0,0.2,0.5,0
Lorenzo Sonego,Jannik Sinner,52.0,4.0,-48.0,0.6,0.9,0
Denis Shapovalov,Nuno Borges,78.0,33.0,-45.0,0.8,0.5,1
Cameron Norrie,Tommy Paul,13.0,41.0,28.0,0.4,0.7,1
Tomas Machac,Novak Djokovic,44.0,1.0,-43.0,0.6,0.7,1
Constant Lestienne,Lorenzo Musetti,92.0,25.0,-67.0,0.3,0.8,0
Juan Pablo Varillas,Hubert Hurkacz,94.0,14.0,-80.0,0.4,0.6,1
Aslan Karatsev,Ben Shelton,50.0,19.0,-31.0,0.7,0.9,0
Felix Auger Aliassime,Alex Molcan,9.0,65.0,56.0,0.7,0.4,0
Michael Mmoh,Tommy Paul,86.0,23.0,-63.0,0.6,0.7,0
Stefanos Tsitsipas,Filip Krajinovic,7.0,46.0,39.0,0.7,0.6,1
Reilly Opelka,James Duckworth,371.0,81.0,-290.0,0.5,0.5,1
Lucas Pouille,Karen Khachanov,174.0,26.0,-148.0,0.4,0.4,1
Federico Coria,David Goffin,60.0,74.0,14.0,0.6,0.6,0
Alex Michelsen,Lloyd Harris,55.0,118.0,63.0,0.4,0.2,0
Emil Ruusuvuori,Mikael Ymer,46.0,77.0,31.0,0.5,0.6,0
Steve Johnson,Aleksandar Vukic,84.0,160.0,76.0,0.5,0.25,0
Tallon Griekspoor,Sumit Nagal,40.0,73.0,33.0,0.4,0.2,1
Alex De Minaur,Holger Rune,10.0,13.0,3.0,0.8,0.7,0
